CSTRAT,ELAB,MEMO,READING,ESCS,GENDER,IMMIGR
-0.8077,-1.0185,-0.2055,565.75,1.5264,1,0
-0.2945,-0.6208,0.395,700.64,0.3691,1,0
-0.2945,-1.0185,0.6832,484.41,1.6617,1,0
-0.2945,0.0385,0.395,536.92,-0.784,1,0
-1.6827,-2.4098,-0.9276,446.75,-0.7214,1,0
0.4861,-0.2743,-0.9276,716.37,1.2935,1,0
1.6056,2.7571,2.6934,512.48,-0.6963,0,0
-0.0411,0.0385,0.6832,522.02,-0.7867,0,0
-3.4531,-2.4098,-3.0191,568.28,-0.1575,0,0
2.504,0.8778,2.6934,619.42,2.166,0,0
0.2159,1.1676,0.9843,412.67,0.5319,0,0
-0.0411,0.3277,0.1036,573.17,1.0512,0,0
0.4861,0.0385,-0.5436,556.33,-0.3588,0,0
-1.6827,-0.6208,-1.3817,473.28,0.4972,0,1
-1.0786,0.6034,-0.9276,616.3,0.044,0,0
-0.2945,-0.2743,0.1036,557.61,0.4822,0,0
0.2159,-1.5227,-1.9702,539.62,-0.3643,1,0
2.504,0.3277,0.6832,586.25,1.1403,1,0
0.2159,1.9347,0.9843,557.41,1.0512,1,0
-3.4531,-2.4098,-3.0191,303.2,-0.4871,1,0
-0.0411,-1.5227,0.9843,723.2,0.9548,1,0
-0.0411,0.0385,0.1036,595.62,-0.1075,1,0
0.4861,0.0385,0.6832,492.51,-0.2149,1,0
-0.5485,-0.2743,0.1036,606.9,1.054,1,0
1.1341,-1.5227,-0.5436,633.28,0.1072,1,0
-0.0411,0.3277,-0.9276,592.37,0.5331,1,0
1.1341,0.6034,-1.9702,664.66,1.0076,1,0
-1.3664,-1.5227,0.1036,515.07,0.0336,1,0
1.1341,0.0385,0.1036,602.61,0.1811,1,0
-0.3772,-1.5227,-1.3817,543.35,0.6852,1,0
-1.0786,-1.0185,-0.5436,439.28,-0.0984,1,0
0.4861,0.6034,-0.9276,549.07,1.4499,1,0
-0.5485,0.6034,0.1036,462.88,0.1864,1,0
1.6056,0.8778,1.3297,422.21,0.8861,0,0
-0.0411,0.0385,0.395,473.28,0.0336,0,0
0.2159,-1.0185,-0.5436,638.74,0.0414,0,0
2.504,0.0385,0.6832,566.75,0.8209,0,0
-0.0411,0.0385,0.1036,504.86,0.342,0,0
-0.2945,0.3277,0.1036,582.22,1.1931,0,0
0.7826,-1.5227,1.3297,595.53,1.3413,0,0
9999,9999,9999,528.75,0.1205,0,9999
1.6056,0.3277,0.9843,581.42,0.4758,0,0
0.7826,0.0385,-1.3817,601.3,-0.5006,0,0
-1.0786,-0.2743,-0.9276,456.76,0.5507,0,0
0.7826,-0.6208,0.6832,453.96,0.7373,0,0
0.2159,1.4986,-0.9276,545.75,0.606,0,0
-0.0411,-1.5227,0.9843,669.61,1.8987,0,0
0.2159,0.3277,0.6832,681.47,0.4219,0,0
-0.5485,-1.5227,-0.5436,584.23,0.4018,0,0
-1.1416,-0.5318,-1.0106,377.8,1.6908,0,0
-0.8077,-0.2743,-0.9276,558.66,1.9521,0,0
0.7826,0.8778,0.9843,368.03,0.0099,1,0
-0.5485,-0.6208,0.395,624.3,0.0798,1,0
1.6056,-0.6208,0.6832,606.43,0.6421,1,0
-0.2945,-1.0185,0.395,443.1,-0.916,1,0
-1.3664,0.0385,0.1036,439.28,0.8133,1,0
0.4861,1.4986,0.395,621.2,0.4759,1,0
-0.0411,-1.0185,-0.5436,673.08,0.3976,1,0
1.1341,2.7571,1.3297,372.4,-0.38,1,0
0.7826,1.1676,0.6832,515.55,-0.2399,1,0
-0.2945,-1.5227,-0.2055,561.62,-0.9343,1,1
-0.0411,0.6034,0.395,409.02,0.0882,1,0
-1.3664,0.0385,-0.2055,693.02,1.1403,1,0
-1.3664,0.3277,-0.9276,486,-0.5225,1,0
0.4861,0.0385,0.395,582.51,0.9453,1,0
-0.2945,0.6034,0.1036,550.58,0.1329,1,0
0.4861,1.1676,0.1036,541.76,-0.6967,1,0
-1.5465,-1.5227,-0.5436,412.51,-0.5335,1,0
-1.3664,-1.0185,-0.5436,377.72,-1.1171,0,0
-0.0411,0.0385,0.395,475.92,-0.3008,0,1
-0.5485,0.0385,0.395,360.4,-0.0192,0,0
0.4861,0.8778,0.1036,550.96,0.7971,0,0
2.504,2.7571,2.6934,335.15,1.3914,0,0
-3.4531,-2.4098,-3.0191,417.48,-0.3146,0,0
-0.0411,1.1676,0.395,415,0.1857,0,0
0.4861,0.3277,0.1036,437.36,0.6499,0,0
0.7826,0.8778,0.9843,519.69,-0.2297,0,0
-3.4531,-2.4098,-3.0191,575.65,-0.038,0,0
-0.2945,0.3277,-0.2055,468.71,1.3413,0,0
1.6056,0.3277,-0.2055,499.17,-0.2791,0,0
0.2159,0.0385,0.6832,623.67,0.3226,0,0
0.2159,0.8778,0.6832,428.7,0.6852,0,0
-1.6827,-1.0185,-0.9276,551.68,-0.4047,0,0
-0.8077,-1.5227,0.1036,431.82,-0.4395,1,1
-1.0786,-2.4098,-1.3817,530,-1.3084,1,1
0.2159,0.8778,0.9843,333.39,-0.4736,1,0
-0.2945,0.3277,0.1036,336.65,-1.1105,1,1
1.1341,-0.6208,0.395,464.71,-0.7408,1,0
-0.2945,0.0385,-0.2055,441.75,0.2948,1,1
0.4861,-0.6208,-1.9702,408.06,0.9211,1,0
0.7826,0.6034,0.395,545.5,-0.072,1,0
1.6056,0.0385,-1.9702,494.73,-0.7424,1,1
0.4861,0.3277,1.7893,461.53,-0.0199,1,1
0.4861,-2.4098,-0.9276,483.77,0.8133,1,0
0.4861,1.4986,0.9843,525.32,0.8499,1,0
-0.0411,0.0385,0.1036,458.91,0.3503,1,0
-0.8077,0.3277,-0.2055,462,-0.1294,1,1
-1.0786,-0.2743,-0.5436,500.29,0.2684,1,0
1.1341,1.4986,0.1036,653.97,0.173,0,0
0.7826,-0.2743,0.9843,694.46,-0.5319,0,1
-3.4531,-2.4098,-3.0191,284.64,-0.4697,0,0
-0.0411,0.8778,0.395,386.38,0.1901,0,1
1.6056,2.7571,2.6934,506.15,-0.3875,0,0
0.4861,0.0385,1.7893,479.85,0.2089,0,0
-0.5485,-0.6208,-0.9276,516.25,-0.5594,0,0
-1.3664,-1.0185,-0.2055,330.9,0.1892,0,0
-0.2945,-1.5227,-0.5436,534.04,-0.1671,0,0
-0.2945,-1.5227,0.1036,447.62,-0.96,0,0
0.2159,0.8778,0.395,466.78,-0.395,0,0
1.1341,1.9347,1.3297,470.63,-0.6687,0,1
1.6056,0.6034,0.6832,476.8,-0.0776,0,1
1.6056,1.1676,1.7893,450.67,-1.5357,0,1
-0.5485,0.3277,0.1036,514.56,0.5771,0,0
-0.2945,0.3277,1.3297,413.15,0.8336,0,1
-0.5485,-0.6208,-0.2055,415.13,-1.009,1,1
0.2159,0.8778,2.6934,498.31,0.4219,1,0
